order_id,customer_name,email,phone,order_date,product,quantity,price,status,region,notes
1001.0,John Smith,john@email.com,555-1234,2024-01-15,Widget A,5.0,29.99,completed,north,"Customer called, urgent"
1002.0,JANE DOE,jane@email.com,555.5678,15/01/2024,Widget B,3.0,49.99,completed,south,"Customer called, urgent"
1003.0,Bob Johnson,,(555) 910-1112,2024-01-16,Widget A,1.0,29.99,pending,north,"Customer called, urgent"
1004.0,John Smith,alice@email.com,5559999,01-17-2024,Widget C,2.0,79.99000000000001,shipped,east,"Customer called, urgent"
1005.0,John Smith,john@email.com,555-1234,2024-01-15,Widget A,5.0,29.99,completed,north,duplicate row
1006.0,Charlie Brown,john@email.com,555-0000,2024/01/18,Widget B,1.0,49.99,cancelled,west,"Customer called, urgent"
1007.0,Diana Prince,diana@email.com,555.2468,2024-01-19,Widget D,4.0,,completed,north,"Customer called, urgent"
1008.0,Eve Anderson,eve@email.com,555-1234,2024-01-20,Widget A,2.0,29.99,completed,south,"Customer called, urgent"
1009.0,Frank Miller,,555-1357,2024-01-21,Widget B,-1.0,49.99,completed,east,negative quantity!!!
1010.0,Grace Lee,grace@email.com,555-2020,invalid_date,Widget C,3.0,79.99000000000001,pending,north,missing region
1011.0,Henry Wilson,henry@email.com,555-3030,2024-01-23,Widget A,2.0,29.99,completed,north,"Customer called, urgent"
1012.0,John Smith,lisa@email.com,555-4040,2024-01-24,Widget B,5.0,49.99,shipped,west,missing name
1013.0,Mike Davis,mike@email.com,555-5050,2024-01-25,Widget E,1.0,79.99000000000001,completed,south,"Customer called, urgent"
1014.0,Nina Patel,nina@email.com,555-6060,2024-01-26,Widget A,0.0,29.99,cancelled,east,zero quantity
1015.0,Oscar Green,,555-7070,2024-01-27,Widget B,2.0,49.99,completed,north,"Customer called, urgent"
1016.0,Extra Spaces,spaces@email.com,555-8080,2024-01-28,Widget A,3.0,29.99,pending,north,leading/trailing spaces
1017.0,MixedCase NAME,mixedcase@email.com,555-9090,2024-01-29,Widget C,1.0,79.99000000000001,shipped,west,"Customer called, urgent"
1018.0,Special@Char$,special!@email.com,555-0101,2024-01-30,Widget D,2.0,79.99000000000001,completed,east,special characters in name
1019.0,John Smith,john@email.com,555-1234,2024-01-15,Widget A,5.0,29.99,completed,north,another duplicate
